Player,Gross P/W (GBP/EUR),Gross P/W (USD),Gross P/Min(USD),Gross P/Y  (GBP/EUR),Gross P/Y (USD),Gross P/Y  (GBP/EUR) BONUS,Signed,Gross Remaining (USD),Status,Pos.,Pos.,Age,Country,Club,Competition,
Bukayo Saka,195000,247650,24.56845238,10140000,12877800,5200000,45069,#REF!,Starter,F,RW,22,England,Arsenal FC,Premier League,
Christopher Nkunku,195000,247650,24.56845238,10140000,12877800,,45108,#REF!,Reserve,F,AM,26,France,Chelsea,Premier League,
Matthijs de Ligt,195000,247650,24.56845238,10140000,12877800,,45517,#REF!,Reserve,D,CB,25,Netherlands,Manchester United,Premier League,
 Ciro Immobile             ,192308,244231.16,24.22928175,10000000,12700000,                 ," Jul 12, 2024     ",#REF!, Reserve , F    , CF   ,34, Italy                            ,Besiktas,UEFA Europa League,
 Rafa Silva                ,192308,244231.16,24.22928175,10000000,12700000,                 ," Jul 1, 2024      ",#REF!, Starter , F    , SS   ,31, Portugal                         ,Besiktas,UEFA Europa League,
 Victor Osimhen            ,192308,244231.16,24.22928175,10000000,12700000,                 ," Sep 4, 2024      ",#REF!, Starter , F    , CF   ,25, Nigeria                          ,Galatasaray,UEFA Europa League,
 Mauro Icardi              ,192308,244231.16,24.22928175,10000000,12700000,                 ," Jul 26, 2023     ",#REF!, Reserve , F    , CF   ,31, Argentina                        ,Galatasaray,UEFA Europa League,
William Saliba,190000,241300,23.93849206,9880000,12547600,,45114,#REF!,Starter,D,CB,23,France,Arsenal FC,Premier League,
Harry Maguire,190000,241300,23.93849206,9880000,12547600,,43682,#REF!,Starter,D,CB,31,England,Manchester United,Premier League,
Heung-min Son,190000,241300,23.93849206,9880000,12547600,,44400,#REF!,Reserve,F,LW,32,South Korea,Tottenham Hotspur,Premier League,
Iñaki Williams,219231,236769.48,23.48903571,11400000,12312000,,43689,#REF!,Starter,F,RW,30,Ghana,Athletic Bilbao,La Liga,
Alphonso Davies,216346,233653.68,23.17992857,11250000,12150000,,43941,#REF!,Starter,D,LB,23,Canada,Bayern Munich,Bundesliga,
Hakan Çalhanoğlu,213654,230746.32,22.8915,11110000,11998800,930000,45112,#REF!,Starter,M,DM,30,Turkey,Inter Milan,Serie A,
Gabriel Martinelli,180000,228600,22.67857143,9360000,11887200,,44960,#REF!,Reserve,F,LW,23,Brazil,Arsenal FC,Premier League,
Enzo Fernández,180000,228600,22.67857143,9360000,11887200,,44957,#REF!,Starter,M,CM,23,Argentina,Chelsea,Premier League,
Trent Alexander-Arnold,180000,228600,22.67857143,9360000,11887200,,44407,#REF!,Starter,D,RB,25,England,Liverpool,Premier League,
Rúben Dias,180000,228600,22.67857143,9360000,11887200,,44438,#REF!,Starter,D,CB,27,Portugal,Manchester City,Premier League,
Manuel Akanji,180000,228600,22.67857143,9360000,11887200,,44805,#REF!,Starter,D,CB,29,Switzerland,Manchester City,Premier League,
Marc Cucurella,175000,222250,22.04861111,9100000,11557000,,44778,#REF!,Starter,D,LB,26,Spain,Chelsea,Premier League,
Kyle Walker,175000,222250,22.04861111,9100000,11557000,,45183,#REF!,Reserve,D,RB,34,England,Manchester City,Premier League,
Nico Williams,200385,216415.8,21.46982143,10420000,11253600,,45261,#REF!,Reserve,F,LW,22,Spain,Athletic Bilbao,La Liga,
Ferland Mendy,200385,216415.8,21.46982143,10420000,11253600,,43647,#REF!,Starter,D,LB,29,France,Real Madrid,La Liga,
Dani Ceballos,200385,216415.8,21.46982143,10420000,11253600,,45100,#REF!,Reserve,M,CM,28,Spain,Real Madrid,La Liga,
Daniel Carvajal,200385,216415.8,21.46982143,10420000,11253600,,45571,#REF!,Starter,D,RB,32,Spain,Real Madrid,La Liga,
